Sat Apr 11 15:17:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:41:00.0 Off |                    0 |
| N/A   33C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
|   1  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   34C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation return: -14.62, best: -inf
Evaluation return: -33.42, best: -14.52
Evaluation return: -33.55, best: -14.52
Evaluation return: -35.44, best: -14.52
Evaluation return: -32.63, best: -14.52
Evaluation return: -32.17, best: -14.52
Evaluation return: -31.01, best: -14.52
Evaluation return: -34.30, best: -14.52
Evaluation return: -36.10, best: -14.52
Evaluation return: -34.51, best: -14.52
Evaluation return: -34.02, best: -14.52
Evaluation return: -34.36, best: -14.52
Evaluation return: -30.78, best: -14.52
Evaluation return: -27.83, best: -14.52
Evaluation return: -27.68, best: -14.52
Evaluation return: -26.94, best: -14.52
Evaluation return: -26.63, best: -14.52
Evaluation return: -24.24, best: -14.52
Evaluation return: -22.36, best: -14.52
Evaluation return: -27.70, best: -14.52
Evaluation return: -25.31, best: -14.52
Evaluation return: -26.04, best: -14.52
Evaluation return: -29.93, best: -14.52
Evaluation return: -32.09, best: -14.52
Evaluation return: -32.02, best: -14.52
Evaluation return: -29.45, best: -14.52
Evaluation return: -30.50, best: -14.52
Evaluation return: -30.43, best: -14.52
Evaluation return: -30.94, best: -14.52
Evaluation return: -31.09, best: -14.52
Evaluation return: -33.38, best: -14.52
Evaluation return: -32.87, best: -14.52
Evaluation return: -31.67, best: -14.52
Evaluation return: -24.32, best: -14.52
Evaluation return: -23.87, best: -14.52
Evaluation return: -20.33, best: -14.52
Evaluation return: -19.19, best: -14.52
Evaluation return: -20.20, best: -14.52
Evaluation return: -18.40, best: -14.52
Evaluation return: -15.63, best: -14.52
Evaluation return: -12.59, best: -14.52
Evaluation return: -13.77, best: -12.59
Evaluation return: -15.20, best: -12.59
Evaluation return: -22.57, best: -12.59
Evaluation return: -19.90, best: -12.59
Evaluation return: -25.02, best: -12.59
Evaluation return: -20.89, best: -12.59
Evaluation return: -19.84, best: -12.59
Evaluation return: -21.00, best: -12.59
Evaluation return: -22.97, best: -12.59
Evaluation return: -23.37, best: -12.59
Evaluation return: -19.68, best: -12.59
Evaluation return: -15.95, best: -12.59
Evaluation return: -14.52, best: -12.59
Evaluation return: -17.65, best: -12.59
Evaluation return: -18.25, best: -12.59
Evaluation return: -24.28, best: -12.59
Evaluation return: -25.73, best: -12.59
Evaluation return: -20.29, best: -12.59
Evaluation return: -21.05, best: -12.59
Evaluation return: -19.30, best: -12.59
Evaluation return: -20.89, best: -12.59
Evaluation return: -20.90, best: -12.59
Evaluation return: -21.44, best: -12.59
Evaluation return: -21.84, best: -12.59
Evaluation return: -20.82, best: -12.59
Evaluation return: -16.34, best: -12.59
Evaluation return: -10.17, best: -12.59
Evaluation return: -15.32, best: -10.17
Evaluation return: -13.60, best: -10.17
Evaluation return: -16.01, best: -10.17
Evaluation return: -15.16, best: -10.17
Evaluation return: -17.29, best: -10.17
Evaluation return: -18.43, best: -10.17
Evaluation return: -15.67, best: -10.17
Evaluation return: -15.85, best: -10.17
Evaluation return: -17.62, best: -10.17
Evaluation return: -19.99, best: -10.17
Evaluation return: -16.72, best: -10.17
Evaluation return: -14.98, best: -10.17
Evaluation return: -15.08, best: -10.17
Evaluation return: -14.19, best: -10.17
Evaluation return: -13.09, best: -10.17
Evaluation return: -8.49, best: -10.17
Evaluation return: -10.60, best: -8.49
Evaluation return: -10.27, best: -8.49
Evaluation return: -8.13, best: -8.49
Evaluation return: -8.80, best: -8.13
Evaluation return: -8.36, best: -8.13
Evaluation return: -9.58, best: -8.13
Evaluation return: -4.05, best: -8.13
Evaluation return: -0.30, best: -4.05
Evaluation return: 9.17, best: -0.30
Evaluation return: 8.34, best: 9.17
Evaluation return: 6.41, best: 9.17
Evaluation return: 3.72, best: 9.17
Evaluation return: 1.27, best: 9.17
Evaluation return: -1.60, best: 9.17
Evaluation return: 1.49, best: 9.17
Evaluation return: 4.53, best: 9.17
Evaluation return: 3.36, best: 9.17
Evaluation return: 4.13, best: 9.17
Evaluation return: -1.91, best: 9.17
Evaluation return: 1.99, best: 9.17
Evaluation return: 4.84, best: 9.17
Evaluation return: 8.20, best: 9.17
Evaluation return: 11.41, best: 9.17
Evaluation return: 17.45, best: 11.41
Evaluation return: 14.45, best: 17.45
Evaluation return: 15.60, best: 17.45
Evaluation return: 11.91, best: 17.45
Evaluation return: 5.55, best: 17.45
Evaluation return: 4.91, best: 17.45
Evaluation return: 2.93, best: 17.45
Evaluation return: 3.15, best: 17.45
Evaluation return: 4.64, best: 17.45
Evaluation return: 3.42, best: 17.45
Evaluation return: 2.07, best: 17.45
Evaluation return: -1.57, best: 17.45
Evaluation return: -7.86, best: 17.45
Evaluation return: -6.06, best: 17.45
Evaluation return: -6.89, best: 17.45
Evaluation return: -7.82, best: 17.45
Evaluation return: -10.50, best: 17.45
Evaluation return: -12.51, best: 17.45
Evaluation return: -15.57, best: 17.45
Evaluation return: -18.62, best: 17.45
Evaluation return: -19.92, best: 17.45
Evaluation return: -19.02, best: 17.45
Evaluation return: -16.00, best: 17.45
Evaluation return: -14.32, best: 17.45
Evaluation return: -12.61, best: 17.45
Evaluation return: -10.52, best: 17.45
Evaluation return: -4.37, best: 17.45
Evaluation return: 1.41, best: 17.45
Evaluation return: 2.96, best: 17.45
Evaluation return: 8.88, best: 17.45
Evaluation return: 10.01, best: 17.45
Evaluation return: 12.91, best: 17.45
Evaluation return: 20.96, best: 17.45
Evaluation return: 18.14, best: 20.96
Evaluation return: 16.96, best: 20.96
Evaluation return: 20.54, best: 20.96
Evaluation return: 15.02, best: 20.96
Evaluation return: 15.03, best: 20.96
Evaluation return: 15.46, best: 20.96
Evaluation return: 18.43, best: 20.96
Evaluation return: 19.96, best: 20.96
Evaluation return: 18.45, best: 20.96
Evaluation return: 14.76, best: 20.96
Evaluation return: 19.33, best: 20.96
Evaluation return: 27.60, best: 20.96
Evaluation return: 26.45, best: 27.60
Evaluation return: 33.88, best: 27.60
Evaluation return: 36.19, best: 33.88
Evaluation return: 34.26, best: 36.19
Evaluation return: 36.57, best: 36.19
Evaluation return: 35.75, best: 36.57
Evaluation return: 39.69, best: 36.57
Evaluation return: 41.68, best: 39.69
Evaluation return: 39.93, best: 41.68
Evaluation return: 45.71, best: 41.68
Evaluation return: 49.92, best: 45.71
Evaluation return: 48.47, best: 49.92
Evaluation return: 41.04, best: 49.92
Evaluation return: 51.57, best: 49.92
Evaluation return: 46.57, best: 51.57
Evaluation return: 47.85, best: 51.57
Evaluation return: 51.03, best: 51.57
Evaluation return: 44.77, best: 51.57
Evaluation return: 46.47, best: 51.57
Evaluation return: 35.03, best: 51.57
Evaluation return: 35.90, best: 51.57
Evaluation return: 28.00, best: 51.57
Evaluation return: 36.75, best: 51.57
Evaluation return: 41.51, best: 51.57
Evaluation return: 46.07, best: 51.57
Evaluation return: 47.12, best: 51.57
Evaluation return: 43.65, best: 51.57
Evaluation return: 43.57, best: 51.57
Evaluation return: 48.15, best: 51.57
Evaluation return: 49.40, best: 51.57
Evaluation return: 39.19, best: 51.57
Evaluation return: 40.76, best: 51.57
Evaluation return: 36.12, best: 51.57
Evaluation return: 22.66, best: 51.57
Evaluation return: 13.68, best: 51.57
Evaluation return: 22.58, best: 51.57
Evaluation return: 24.41, best: 51.57
Evaluation return: 28.82, best: 51.57
Evaluation return: 30.92, best: 51.57
Evaluation return: 31.16, best: 51.57
Evaluation return: 34.03, best: 51.57
Evaluation return: 42.84, best: 51.57
Evaluation return: 41.52, best: 51.57
Evaluation return: 53.63, best: 51.57
Evaluation return: 58.03, best: 53.63
Evaluation return: 50.10, best: 58.03
Evaluation return: 41.44, best: 58.03
Evaluation return: 36.78, best: 58.03
Evaluation return: 35.29, best: 58.03
Evaluation return: 32.73, best: 58.03
Evaluation return: 33.85, best: 58.03
Evaluation return: 31.52, best: 58.03
Evaluation return: 27.98, best: 58.03
Evaluation return: 19.36, best: 58.03
Evaluation return: 15.05, best: 58.03
Evaluation return: 13.45, best: 58.03
Evaluation return: 19.62, best: 58.03
Evaluation return: 24.45, best: 58.03
Evaluation return: 23.03, best: 58.03
Evaluation return: 30.74, best: 58.03
Evaluation return: 32.31, best: 58.03
Evaluation return: 37.09, best: 58.03
Evaluation return: 46.92, best: 58.03
Evaluation return: 51.01, best: 58.03
Evaluation return: 54.76, best: 58.03
Evaluation return: 53.08, best: 58.03
Evaluation return: 48.78, best: 58.03
Evaluation return: 48.55, best: 58.03
Evaluation return: 48.16, best: 58.03
Evaluation return: 45.63, best: 58.03
Evaluation return: 49.04, best: 58.03
Evaluation return: 42.79, best: 58.03
Evaluation return: 39.98, best: 58.03
Evaluation return: 37.17, best: 58.03
Evaluation return: 39.07, best: 58.03
Evaluation return: 43.63, best: 58.03
Evaluation return: 44.20, best: 58.03
Evaluation return: 43.30, best: 58.03
Evaluation return: 42.81, best: 58.03
Evaluation return: 36.92, best: 58.03
Evaluation return: 32.12, best: 58.03
Evaluation return: 28.99, best: 58.03
Evaluation return: 22.30, best: 58.03
Evaluation return: 27.30, best: 58.03
Evaluation return: 31.94, best: 58.03
Evaluation return: 32.30, best: 58.03
Evaluation return: 32.19, best: 58.03
Evaluation return: 33.16, best: 58.03
Evaluation return: 38.95, best: 58.03
Evaluation return: 41.14, best: 58.03
Evaluation return: 37.16, best: 58.03
Evaluation return: 42.51, best: 58.03
Evaluation return: 50.00, best: 58.03
Evaluation return: 48.73, best: 58.03
Evaluation return: 48.92, best: 58.03
Evaluation return: 48.93, best: 58.03
Evaluation return: 56.93, best: 58.03
Evaluation return: 54.26, best: 58.03
Evaluation return: 54.20, best: 58.03
Evaluation return: 60.07, best: 58.03
Evaluation return: 62.41, best: 60.07
Evaluation return: 66.03, best: 62.41
Evaluation return: 63.11, best: 66.03
Evaluation return: 58.46, best: 66.03
Evaluation return: 58.56, best: 66.03
Evaluation return: 57.54, best: 66.03
Evaluation return: 54.50, best: 66.03
Evaluation return: 51.94, best: 66.03
Evaluation return: 48.56, best: 66.03
Evaluation return: 50.80, best: 66.03
Evaluation return: 50.66, best: 66.03
Evaluation return: 47.13, best: 66.03
Evaluation return: 55.53, best: 66.03
Evaluation return: 61.66, best: 66.03
Evaluation return: 59.64, best: 66.03
Evaluation return: 60.87, best: 66.03
Evaluation return: 60.32, best: 66.03
Evaluation return: 70.34, best: 66.03
Evaluation return: 69.78, best: 70.34
Evaluation return: 66.45, best: 70.34
Evaluation return: 75.90, best: 70.34
Evaluation return: 74.58, best: 75.90
Evaluation return: 76.51, best: 75.90
Evaluation return: 67.52, best: 76.51
Evaluation return: 63.66, best: 76.51
Evaluation return: 63.92, best: 76.51
Evaluation return: 69.65, best: 76.51
Evaluation return: 64.61, best: 76.51
Evaluation return: 57.48, best: 76.51
Evaluation return: 63.96, best: 76.51
Evaluation return: 63.44, best: 76.51
Evaluation return: 71.80, best: 76.51
Evaluation return: 70.53, best: 76.51
Evaluation return: 75.65, best: 76.51
Evaluation return: 78.29, best: 76.51
Evaluation return: 85.35, best: 78.29
Evaluation return: 87.66, best: 85.35
Evaluation return: 92.97, best: 87.66
Evaluation return: 108.47, best: 92.97
Evaluation return: 97.58, best: 108.47
Evaluation return: 95.04, best: 108.47
Evaluation return: 90.48, best: 108.47
Evaluation return: 84.18, best: 108.47
Evaluation return: 86.96, best: 108.47
Evaluation return: 88.78, best: 108.47
Evaluation return: 76.13, best: 108.47
Evaluation return: 67.34, best: 108.47
Evaluation return: 60.97, best: 108.47
Evaluation return: 50.90, best: 108.47
Evaluation return: 55.46, best: 108.47
Evaluation return: 49.26, best: 108.47
Evaluation return: 44.90, best: 108.47
Evaluation return: 50.05, best: 108.47
Evaluation return: 42.21, best: 108.47
Evaluation return: 36.40, best: 108.47
Evaluation return: 44.13, best: 108.47
Evaluation return: 49.52, best: 108.47
Evaluation return: 51.65, best: 108.47
Evaluation return: 44.63, best: 108.47
Evaluation return: 40.13, best: 108.47
Evaluation return: 42.70, best: 108.47
Evaluation return: 45.93, best: 108.47
Evaluation return: 37.70, best: 108.47
Evaluation return: 34.97, best: 108.47
Evaluation return: 38.38, best: 108.47
Evaluation return: 35.00, best: 108.47
Evaluation return: 39.20, best: 108.47
Evaluation return: 46.97, best: 108.47
Evaluation return: 57.04, best: 108.47
Evaluation return: 73.26, best: 108.47
Evaluation return: 75.19, best: 108.47
Evaluation return: 75.38, best: 108.47
Evaluation return: 78.70, best: 108.47
Evaluation return: 81.41, best: 108.47
Evaluation return: 86.76, best: 108.47
Evaluation return: 80.95, best: 108.47
Evaluation return: 76.82, best: 108.47
Evaluation return: 75.75, best: 108.47
Evaluation return: 70.55, best: 108.47
Evaluation return: 62.68, best: 108.47
Evaluation return: 68.30, best: 108.47
Evaluation return: 65.21, best: 108.47
Evaluation return: 69.68, best: 108.47
Evaluation return: 80.16, best: 108.47
Evaluation return: 72.49, best: 108.47
Evaluation return: 86.18, best: 108.47
Evaluation return: 82.25, best: 108.47
Evaluation return: 76.24, best: 108.47
Evaluation return: 79.34, best: 108.47
Evaluation return: 85.06, best: 108.47
Evaluation return: 78.37, best: 108.47
Evaluation return: 84.03, best: 108.47
Evaluation return: 76.59, best: 108.47
Evaluation return: 69.41, best: 108.47
Evaluation return: 80.86, best: 108.47
Evaluation return: 68.94, best: 108.47
Evaluation return: 63.77, best: 108.47
Evaluation return: 65.63, best: 108.47
Evaluation return: 67.31, best: 108.47
Evaluation return: 67.05, best: 108.47
Evaluation return: 70.19, best: 108.47
Evaluation return: 74.98, best: 108.47
Evaluation return: 80.62, best: 108.47
Evaluation return: 90.08, best: 108.47
Evaluation return: 82.78, best: 108.47
Evaluation return: 91.33, best: 108.47
Evaluation return: 100.68, best: 108.47
Evaluation return: 101.69, best: 108.47
Evaluation return: 95.10, best: 108.47
Evaluation return: 88.41, best: 108.47
Evaluation return: 88.66, best: 108.47
Evaluation return: 79.73, best: 108.47
Evaluation return: 75.40, best: 108.47
Evaluation return: 73.71, best: 108.47
Evaluation return: 79.43, best: 108.47
Evaluation return: 76.43, best: 108.47
Evaluation return: 80.21, best: 108.47
Evaluation return: 81.65, best: 108.47
Evaluation return: 83.87, best: 108.47
Evaluation return: 86.70, best: 108.47
Evaluation return: 93.33, best: 108.47
Evaluation return: 93.35, best: 108.47
Evaluation return: 97.30, best: 108.47
Evaluation return: 97.30, best: 108.47
Evaluation return: 96.80, best: 108.47
Evaluation return: 98.81, best: 108.47
Evaluation return: 96.34, best: 108.47
Evaluation return: 93.39, best: 108.47
Evaluation return: 92.97, best: 108.47
Evaluation return: 92.59, best: 108.47
Evaluation return: 81.03, best: 108.47
Evaluation return: 82.69, best: 108.47
Evaluation return: 81.87, best: 108.47
Evaluation return: 88.37, best: 108.47
Evaluation return: 90.15, best: 108.47
Evaluation return: 93.57, best: 108.47
Evaluation return: 90.05, best: 108.47
Evaluation return: 101.26, best: 108.47
Evaluation return: 105.27, best: 108.47
Evaluation return: 98.90, best: 108.47
Evaluation return: 103.79, best: 108.47
Evaluation return: 110.27, best: 108.47
Evaluation return: 118.04, best: 110.27
Evaluation return: 111.47, best: 118.04
Evaluation return: 102.04, best: 118.04
Evaluation return: 105.80, best: 118.04
Evaluation return: 108.27, best: 118.04
Evaluation return: 97.25, best: 118.04
Evaluation return: 107.56, best: 118.04
Evaluation return: 111.24, best: 118.04
Evaluation return: 112.92, best: 118.04
Evaluation return: 101.57, best: 118.04
Evaluation return: 102.89, best: 118.04
Evaluation return: 96.42, best: 118.04
Evaluation return: 97.61, best: 118.04
Evaluation return: 87.09, best: 118.04
Evaluation return: 84.86, best: 118.04
Evaluation return: 93.85, best: 118.04
Evaluation return: 92.58, best: 118.04
Evaluation return: 94.52, best: 118.04
Evaluation return: 99.81, best: 118.04
Evaluation return: 104.99, best: 118.04
Evaluation return: 89.20, best: 118.04
Evaluation return: 93.53, best: 118.04
Evaluation return: 101.90, best: 118.04
Evaluation return: 101.34, best: 118.04
Evaluation return: 93.08, best: 118.04
Evaluation return: 83.78, best: 118.04
Evaluation return: 70.92, best: 118.04
Evaluation return: 73.52, best: 118.04
Evaluation return: 61.68, best: 118.04
Evaluation return: 61.91, best: 118.04
Evaluation return: 64.28, best: 118.04
Evaluation return: 60.23, best: 118.04
Evaluation return: 48.35, best: 118.04
Evaluation return: 45.06, best: 118.04
Evaluation return: 57.13, best: 118.04
Evaluation return: 60.85, best: 118.04
Evaluation return: 59.30, best: 118.04
Evaluation return: 55.56, best: 118.04
Evaluation return: 64.92, best: 118.04
Evaluation return: 63.02, best: 118.04
Evaluation return: 66.95, best: 118.04
Evaluation return: 62.80, best: 118.04
Evaluation return: 65.56, best: 118.04
Evaluation return: 77.98, best: 118.04
Evaluation return: 71.05, best: 118.04
Evaluation return: 67.55, best: 118.04
Evaluation return: 85.39, best: 118.04
Evaluation return: 89.84, best: 118.04
Evaluation return: 87.27, best: 118.04
Evaluation return: 92.16, best: 118.04
Evaluation return: 87.36, best: 118.04
Evaluation return: 91.66, best: 118.04
Evaluation return: 89.82, best: 118.04
Evaluation return: 82.46, best: 118.04
Evaluation return: 82.65, best: 118.04
Evaluation return: 78.20, best: 118.04
Evaluation return: 67.38, best: 118.04
Evaluation return: 58.73, best: 118.04
Evaluation return: 62.41, best: 118.04
Evaluation return: 65.99, best: 118.04
Evaluation return: 67.14, best: 118.04
Evaluation return: 73.35, best: 118.04
Evaluation return: 90.59, best: 118.04
Evaluation return: 100.39, best: 118.04
Evaluation return: 105.53, best: 118.04
